query,title,authors,publication,date,doi,citations,link
4th generation AND district thermal,Method for Optimal Implementation of Energy Efficient Technologies in Heating Systems,Polyvianchuk A.,Lecture Notes in Networks and Systems,2026-01-01,10.1007/978-3-032-06832-3_17,0,https://api.elsevier.com/content/abstract/scopus_id/105019649539
4th generation AND district thermal,Techno-Economic Feasibility and Optimal Sizing of CHP Units for Energy Conservation: Software Development Approach,Zafarullah S.M.,Communications in Computer and Information Science,2026-01-01,10.1007/978-3-032-00983-8_1,0,https://api.elsevier.com/content/abstract/scopus_id/105013462351
4th generation AND district thermal,Recent advancements in internal and external thermoregulation strategies for lithium-ion batteries,Marri G.K.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116127,6,https://api.elsevier.com/content/abstract/scopus_id/105011962983
4th generation AND district thermal,Investigation on the supercooling release process in swirling flow crystallizer for supercooled ice slurry generation system,Du Q.,Journal of Energy Storage,2026-01-01,10.1016/j.est.2025.119234,0,https://api.elsevier.com/content/abstract/scopus_id/105020800207
4th generation AND district thermal,A comprehensive review of deep reinforcement learning applications from centralized power generation to modern energy internet frameworks,Mahmud S.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116481,0,https://api.elsevier.com/content/abstract/scopus_id/105021859452
4th generation AND district thermal,Low Earth Orbit (LEO) Satellites for 5G-A: Revolutionizing Global Connectivity and Real-Time Communications,Wang B.,Lecture Notes in Networks and Systems,2026-01-01,10.1007/978-3-032-09694-4_40,0,https://api.elsevier.com/content/abstract/scopus_id/105023194300
4th generation AND district thermal,Digital twin technologies in active distribution network: A comprehensive review,Han D.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116191,0,https://api.elsevier.com/content/abstract/scopus_id/105013647577
4th generation AND district energy,DK-TGAN-ERRA: A data-knowledge-driven tabular GAN for synthesising cases applied to emergency rescue risk analysis,Ye X.,Reliability Engineering and System Safety,2026-03-01,10.1016/j.ress.2025.111804,0,https://api.elsevier.com/content/abstract/scopus_id/105020955687
4th generation AND district energy,"Geochemical signatures, hydrocarbon generation kinetics, and oil-source correlation of the Es4 member source rocks in the Liaohe Western depression: implications for tight oil exploration in continental rift basins",Ge Z.,Fuel,2026-02-15,10.1016/j.fuel.2025.137033,0,https://api.elsevier.com/content/abstract/scopus_id/105020257440
4th generation AND district energy,Low-temperature district heating operations using heat cost allocators in apartment buildings,Yang Q.,Building and Environment,2026-02-01,10.1016/j.buildenv.2025.114095,0,https://api.elsevier.com/content/abstract/scopus_id/105023648143
4th generation AND district energy,Hybrid solar transcritical CO2 and green hydrogen loop for sustainable off-grid energy: Performance analysis and techno-economic optimization,Ramachandran S.,Renewable Energy,2026-02-01,10.1016/j.renene.2025.124747,0,https://api.elsevier.com/content/abstract/scopus_id/105022215356
4th generation AND district energy,Aligning European Union ambitions of renewable energy communities with citizens actions using United Nations sustainable neighbourhood indexes,Llewellyn J.,Energy Policy,2026-02-01,10.1016/j.enpol.2025.114960,0,https://api.elsevier.com/content/abstract/scopus_id/105020855392
4th generation AND district energy,"Machine learning in peak demand forecasting: foundations, trends, and insights",Dai S.,Renewable and Sustainable Energy Reviews,2026-02-01,10.1016/j.rser.2025.116500,0,https://api.elsevier.com/content/abstract/scopus_id/105023091456
4th generation AND district energy,Assessment of a polygeneration system for district heating and cooling using biogas from wastewater treatment plants,Picardo A.,Energy Conversion and Management,2026-01-15,10.1016/j.enconman.2025.120615,0,https://api.elsevier.com/content/abstract/scopus_id/105017553067
4th generation AND district energy,Consensus clustering of residential districts under various DR regimes: Stable flexibility oriented building clusters,Jafarinejad T.,Energy and Buildings,2026-01-15,10.1016/j.enbuild.2025.116694,0,https://api.elsevier.com/content/abstract/scopus_id/105021931301
4th generation AND district energy,Non-intrusive hourly occupancy detection in residential buildings using remotely readable water meter data: Validation and large-scale analysis,Schaffer M.,Building and Environment,2026-01-15,10.1016/j.buildenv.2025.113917,0,https://api.elsevier.com/content/abstract/scopus_id/105021479400
4th generation AND district energy,"Evaluating Retrofit Strategies and Decentralized Systems for the Transition to Low-Temperature District Heating: A Simulation-Based Case Study in Borlänge, Sweden",Ayyathurai V.P.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-032-03101-3_6,0,https://api.elsevier.com/content/abstract/scopus_id/105021834383
4th generation AND district energy,A comprehensive techno-economic analysis of solar energy integration in low-temperature district heating and cooling systems,Russo G.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124017,5,https://api.elsevier.com/content/abstract/scopus_id/105011876473
4th generation AND district energy,Dynamic temperature supply to boost the integration of renewable energy into existing district heating networks,Capone M.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124315,2,https://api.elsevier.com/content/abstract/scopus_id/105014373411
4th generation AND district energy,Sizing procedure of low-enthalpy district heating and cooling heat pump plants: A case study of the Balearic Islands university campus,Bibiloni-Mulet P.A.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116582,0,https://api.elsevier.com/content/abstract/scopus_id/105022150047
4th generation AND district energy,A review on optimization of district energy systems,Abdelghani D.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116041,1,https://api.elsevier.com/content/abstract/scopus_id/105012629133
4th generation AND district energy,District heating modeling tools: A review based on design and simulation of renewable district heating networks,Valentini L.V.,Energy Conversion and Management X,2026-01-01,10.1016/j.ecmx.2025.101414,0,https://api.elsevier.com/content/abstract/scopus_id/105023079317
4th generation AND district energy,"Integrating solutions for enabling the sustainable development of energy, water and environment systems",Kılkış Ş.,Energy Conversion and Management,2026-01-01,10.1016/j.enconman.2025.120492,1,https://api.elsevier.com/content/abstract/scopus_id/105016830534
4th generation AND district energy,Optimization of supply water temperature for heat demand-supply balance: A weighted thermal disturbance-based regulation model,Jian Y.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116619,0,https://api.elsevier.com/content/abstract/scopus_id/105022154447
4th generation AND district energy,Real-world deployment of model-free reinforcement learning for energy control in district heating systems: Enhancing flexibility across neighboring buildings,Moshari A.,Applied Energy,2026-01-01,10.1016/j.apenergy.2025.126997,0,https://api.elsevier.com/content/abstract/scopus_id/105020937658
4th generation AND district energy,Optimization Problems in Cyber-Physical Energy Systems,Lehnhoff S.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-031-97537-0_7,0,https://api.elsevier.com/content/abstract/scopus_id/105022753596
4th generation AND district energy,Method for Optimal Implementation of Energy Efficient Technologies in Heating Systems,Polyvianchuk A.,Lecture Notes in Networks and Systems,2026-01-01,10.1007/978-3-032-06832-3_17,0,https://api.elsevier.com/content/abstract/scopus_id/105019649539
4th generation AND district energy,Thermal energy storage–coupled heat pump systems: Review of configurations and modelling approaches,Zhou J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116226,1,https://api.elsevier.com/content/abstract/scopus_id/105014016864
4th generation AND district energy,A comprehensive review of deep reinforcement learning applications from centralized power generation to modern energy internet frameworks,Mahmud S.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116481,0,https://api.elsevier.com/content/abstract/scopus_id/105021859452
4th generation AND district energy,Passive atmospheric wind profile retrieval via multi-region microwave radiometer network,Jiang S.,Atmospheric Research,2026-01-01,10.1016/j.atmosres.2025.108474,0,https://api.elsevier.com/content/abstract/scopus_id/105015853901
4th generation AND district energy,Techno-Economic Feasibility and Optimal Sizing of CHP Units for Energy Conservation: Software Development Approach,Zafarullah S.M.,Communications in Computer and Information Science,2026-01-01,10.1007/978-3-032-00983-8_1,0,https://api.elsevier.com/content/abstract/scopus_id/105013462351
4th generation AND district energy,Low-carbon configuration of an integrated electricity-gas-thermal energy storage system for effective grid management: Comprehensive sustainability quantification,Lu Y.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116413,0,https://api.elsevier.com/content/abstract/scopus_id/105021880336
4th generation AND district heat pump,Low-temperature district heating operations using heat cost allocators in apartment buildings,Yang Q.,Building and Environment,2026-02-01,10.1016/j.buildenv.2025.114095,0,https://api.elsevier.com/content/abstract/scopus_id/105023648143
4th generation AND district heat pump,Assessment of a polygeneration system for district heating and cooling using biogas from wastewater treatment plants,Picardo A.,Energy Conversion and Management,2026-01-15,10.1016/j.enconman.2025.120615,0,https://api.elsevier.com/content/abstract/scopus_id/105017553067
4th generation AND district heat pump,Consensus clustering of residential districts under various DR regimes: Stable flexibility oriented building clusters,Jafarinejad T.,Energy and Buildings,2026-01-15,10.1016/j.enbuild.2025.116694,0,https://api.elsevier.com/content/abstract/scopus_id/105021931301
4th generation AND district heat pump,Sizing procedure of low-enthalpy district heating and cooling heat pump plants: A case study of the Balearic Islands university campus,Bibiloni-Mulet P.A.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116582,0,https://api.elsevier.com/content/abstract/scopus_id/105022150047
4th generation AND district heat pump,"Evaluating Retrofit Strategies and Decentralized Systems for the Transition to Low-Temperature District Heating: A Simulation-Based Case Study in Borlänge, Sweden",Ayyathurai V.P.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-032-03101-3_6,0,https://api.elsevier.com/content/abstract/scopus_id/105021834383
4th generation AND district heat pump,Dynamic temperature supply to boost the integration of renewable energy into existing district heating networks,Capone M.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124315,2,https://api.elsevier.com/content/abstract/scopus_id/105014373411
4th generation AND district heat pump,Thermal energy storage–coupled heat pump systems: Review of configurations and modelling approaches,Zhou J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116226,1,https://api.elsevier.com/content/abstract/scopus_id/105014016864
4th generation AND district heat pump,Optimization of supply water temperature for heat demand-supply balance: A weighted thermal disturbance-based regulation model,Jian Y.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116619,0,https://api.elsevier.com/content/abstract/scopus_id/105022154447
4th generation AND district heat pump,District heating modeling tools: A review based on design and simulation of renewable district heating networks,Valentini L.V.,Energy Conversion and Management X,2026-01-01,10.1016/j.ecmx.2025.101414,0,https://api.elsevier.com/content/abstract/scopus_id/105023079317
4th generation AND district heat pump,A comprehensive techno-economic analysis of solar energy integration in low-temperature district heating and cooling systems,Russo G.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124017,5,https://api.elsevier.com/content/abstract/scopus_id/105011876473
4th generation AND district heat pump,A review on optimization of district energy systems,Abdelghani D.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116041,1,https://api.elsevier.com/content/abstract/scopus_id/105012629133
4th generation AND district heat pump,"Integrating solutions for enabling the sustainable development of energy, water and environment systems",Kılkış Ş.,Energy Conversion and Management,2026-01-01,10.1016/j.enconman.2025.120492,1,https://api.elsevier.com/content/abstract/scopus_id/105016830534
4th generation AND district heat pump,Techno-Economic Feasibility and Optimal Sizing of CHP Units for Energy Conservation: Software Development Approach,Zafarullah S.M.,Communications in Computer and Information Science,2026-01-01,10.1007/978-3-032-00983-8_1,0,https://api.elsevier.com/content/abstract/scopus_id/105013462351
4th generation AND district heat pump,Investigation on the supercooling release process in swirling flow crystallizer for supercooled ice slurry generation system,Du Q.,Journal of Energy Storage,2026-01-01,10.1016/j.est.2025.119234,0,https://api.elsevier.com/content/abstract/scopus_id/105020800207
4th generation AND district heat pump,Low-carbon configuration of an integrated electricity-gas-thermal energy storage system for effective grid management: Comprehensive sustainability quantification,Lu Y.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116413,0,https://api.elsevier.com/content/abstract/scopus_id/105021880336
4th generation AND district heat pump,Distributed control and optimization in building energy systems: a technical survey of multi-agent architectures and algorithms,Abdalla A.N.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116644,0,https://api.elsevier.com/content/abstract/scopus_id/105020918569
4th generation AND district heat pump,A comprehensive review of deep reinforcement learning applications from centralized power generation to modern energy internet frameworks,Mahmud S.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116481,0,https://api.elsevier.com/content/abstract/scopus_id/105021859452
4th generation AND district heat pump,Demand Response in Smart Microgrids: Advanced and Optimal Energy Management Strategies,Ouassaid M.,Studies in Systems Decision and Control,2026-01-01,10.1007/978-3-032-02492-3,0,https://api.elsevier.com/content/abstract/scopus_id/105020789714
4th generation AND district heat pump,Ventilation systems balancing rapid pollutant removal and energy efficiency in the post-pandemic era: a literature review,Zhang J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116175,1,https://api.elsevier.com/content/abstract/scopus_id/105012587022
4th generation AND district heat pump,Estimating the value of novel heat sources in district heating systems from the perspective of energy utilities using a merit order approach,Thommessen C.,Applied Energy,2025-12-15,10.1016/j.apenergy.2025.126594,1,https://api.elsevier.com/content/abstract/scopus_id/105013565286
4th generation AND district heat pump,"Comparative techno-economic assessment of solar district heating architectures based on combined solar thermal collectors, heat pumps, PVs and batteries",Braimakis K.,Applied Thermal Engineering,2025-12-15,10.1016/j.applthermaleng.2025.128723,0,https://api.elsevier.com/content/abstract/scopus_id/105020879955
4th generation AND district heat pump,"Transition pathways for a gas supplied district heating network to an ultra low carbon district heating network: A case study for Holywell Park, Loughborough University",Pans M.A.,Renewable Energy,2025-12-15,10.1016/j.renene.2025.123841,0,https://api.elsevier.com/content/abstract/scopus_id/105009218357
4th generation AND district heat pump,Experimental study on falling film evaporation heat transfer of R-1233zd(E) on horizontal enhanced tubes for high-temperature industrial heat pump applications,Min J.,Applied Thermal Engineering,2025-12-15,10.1016/j.applthermaleng.2025.128706,0,https://api.elsevier.com/content/abstract/scopus_id/105020853764
4th generation AND district heat pump,Design and flexible operation study of a bidirectional thermal substation based on building thermal battery model in fifth generation heating and cooling systems,Guo Y.,Applied Thermal Engineering,2025-12-15,10.1016/j.applthermaleng.2025.128817,0,https://api.elsevier.com/content/abstract/scopus_id/105022183480
4th generation AND district heat pump,Innovative approach and numerical modeling to retrofit existing substations for bidirectional operation: Enabling thermal prosumer participation in District Heating Network,Gianaroli F.,Applied Energy,2025-12-15,10.1016/j.apenergy.2025.126698,1,https://api.elsevier.com/content/abstract/scopus_id/105015694213
4th generation AND thermal network,CFD-guided design and performance evaluation of a mobile aerator for delaying channel ice formation,Zhao F.,European Journal of Mechanics B Fluids,2026-05-01,10.1016/j.euromechflu.2025.204428,0,https://api.elsevier.com/content/abstract/scopus_id/105023659322
4th generation AND thermal network,Visual fidelity-oriented compression via representation fusion and diffusion reconstruction,Fang X.,Information Fusion,2026-04-01,10.1016/j.inffus.2025.103954,0,https://api.elsevier.com/content/abstract/scopus_id/105022265062
4th generation AND thermal network,Degradation mechanism of nickel-base single crystal superalloy after long-term aging: Roles of nanomechanical properties and morphology of γ/γ′ phases,Luo C.,Journal of Materials Science and Technology,2026-03-20,10.1016/j.jmst.2025.04.086,4,https://api.elsevier.com/content/abstract/scopus_id/105010696796
4th generation AND thermal network,Deep learning framework for casson fluid flow: A PINN approach to heat and mass transfer with chemical reaction and viscous dissipation,Rudrabhatla S.K.,European Journal of Mechanics B Fluids,2026-03-01,10.1016/j.euromechflu.2025.204401,0,https://api.elsevier.com/content/abstract/scopus_id/105022517978
4th generation AND thermal network,Physics-Informed deep operator learning framework for multiphysics heat and mass transport in rotating disk energy systems,Ganji A.M.,Results in Engineering,2026-03-01,10.1016/j.rineng.2025.108283,0,https://api.elsevier.com/content/abstract/scopus_id/105023643492
4th generation AND thermal network,A security-aware multi-criteria decision-making framework for ordering task mapping techniques in 3D-NoC based MPSoC architectures of IoT,Al-Hchaimi A.A.J.,Computer Standards and Interfaces,2026-03-01,10.1016/j.csi.2025.104075,0,https://api.elsevier.com/content/abstract/scopus_id/105016311748
4th generation AND thermal network,Enhanced magnetic hyperthermia in graphene–magnetite nanohybrids for cancer therapy: Artificial intelligence-driven validation via Nonlinear Autoregressive with Exogenous Inputs-Long Short-Term Memory (NARX–LSTM) forecasting,Dar M.S.,Biomaterials Advances,2026-03-01,10.1016/j.bioadv.2025.214572,0,https://api.elsevier.com/content/abstract/scopus_id/105020962184
4th generation AND thermal network,AAE-CycleWGAN fusion framework for generating fused strain data from sparse to dense domains in bridge monitoring systems,Hassani S.,Information Fusion,2026-03-01,10.1016/j.inffus.2025.103736,1,https://api.elsevier.com/content/abstract/scopus_id/105017803174
4th generation AND thermal network,Predictive summarization framework for resource-constrained device surveillance videos,Beigh T.M.,Pattern Recognition,2026-03-01,10.1016/j.patcog.2025.112274,1,https://api.elsevier.com/content/abstract/scopus_id/105012996895
4th generation AND thermal network,Intelligent condition monitoring of power cables using advanced machine learning models,Abdolahi M.,Results in Engineering,2026-03-01,10.1016/j.rineng.2025.108371,0,https://api.elsevier.com/content/abstract/scopus_id/105023706917
4th generation AND thermal network,"Utilizing solar energy for UAVs: Advancements, challenges and future perspectives in defense and military applications - A review",Ismail N.,Solar Energy Materials and Solar Cells,2026-03-01,10.1016/j.solmat.2025.114075,0,https://api.elsevier.com/content/abstract/scopus_id/105022119899
