title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Novel effective room temperature-based predictive feedback control method for large-scale district heating substation,15,2023,Conventional district heating (DH) substations in China use a feed-forward adjustment method that predicts the water supply temperature based on the outdoor temperature. This …,https://www.sciencedirect.com/science/article/pii/S1359431122011711,,0,"low-temperature, district thermal"
Various disturbances propagation analysis of district heating system based on the standardized thermal resistance method,1,2023,"… Compared with the systems, ultra-low temperature district heating (ULTDH) can reduce energy consumption. Disturbance in the heating system affects not only its system but also the …",https://scijournals.onlinelibrary.wiley.com/doi/abs/10.1002/ese3.1603,,0,"low-temperature, district thermal"
Dynamic modeling and intelligent heating strategies of district heating system based on the standardized thermal resistance,16,2023,"… This paper dynamically modeled the key components based on the standardized thermal … In all, this standardized thermal resistance-based dynamic modeling method and the …",https://www.sciencedirect.com/science/article/pii/S135943112201849X,,0,"low-temperature, district thermal"
Recent progress in thermal and optical enhancement of low temperature solar collector,34,2023,"… , low-temperature solar collectors are reviewed and discussed for different types of collectors, and the various technical progress in thermal … on the low-temperature solar collectors, this …",https://link.springer.com/article/10.1007/S12667-021-00473-5,,0,"low-temperature, district thermal"
Design optimization of low-temperature latent thermal energy storage for urban cooling applications,5,2023,… is conceived as a supplementary low-temperature thermal storage device within a district cooling system (DCS… The low-temperature cold source of the LTES is disregarded for this study. …,https://www.sciencedirect.com/science/article/pii/S1359431123007408,,0,"low-temperature, district thermal"
Comparison of traditional district heating with low temperature district heating systems featuring organic Rankine cycle and heat pump,6,2023,… supplying heat to DH networks the thermal parameters stemming from such sources are … The ORC is one of the most economic and efficient ways to convert the low-grade thermal …,https://www.sciencedirect.com/science/article/pii/S0360544223017413,,0,"low-temperature, district thermal"
Simulation research of a dual-loop booster heat pump system on district heating under ultra-low temperature,7,2023,… ULTDH (ultra-low temperature district heating) system improves the shortcoming of significant loss of heating network in traditional district heating systems. This work proposes a dual-…,https://www.sciencedirect.com/science/article/pii/S1359431123005045,,0,"low-temperature, district thermal"
Fifth-generation district heating and cooling systems: A review of recent advancements and implementation barriers,112,2023,… are mainly powered by fossil fuels and suffer from significant thermal losses due to high operating temperatures. Fifth-generation district heating and cooling systems (5GDHC) is a …,https://www.sciencedirect.com/science/article/pii/S1364032122008784,,0,"low-temperature, district thermal"
"Energy, exergy analysis and optimization of insulation thickness on buildings in a low-temperature district heating system",5,2023,… Energy and exergy analysis of low temperature district heating network. Energy 2012;45:237… Integration of space heating and hot water supply in low temperature district heating. …,https://dergipark.org.tr/en/pub/thermal/issue/75743/1243502,,0,"low-temperature, district thermal"
Simulation of distribution system for low temperature district heating in future urban areas–Case study of a planned city district in Gävle,1,2023,"… of the 4thgeneration district heating which is characterized by low distribution temperatures. In this study, low-temperature district heating distribution in a planned future city district is …",https://www.ecp.ep.liu.se/index.php/sims/article/view/782,,0,"low-temperature, district thermal"
Research progress on the fifth-generation district heating system based on heat pump technology,47,2023,"… Test results show that within a specific range, the COP of the heat pump of the ultra-low temperature district heating system increases with the inlet temperature, with a maximum COP of …",https://www.sciencedirect.com/science/article/pii/S235271022300712X,,0,"low-temperature, district heat pump"
… optimization of solar-driven low temperature district heating and cooling system integrated with distributed water-lithium bromide absorption heat pumps,19,2023,… Low temperature of space heating contributes to utilizing renewable energy … low temperature district heating and cooling contributes to utilizing more low-grade heat such as waste heat …,https://www.sciencedirect.com/science/article/pii/S0038092X23001202,,0,"low-temperature, district heat pump"
Integration of booster heat pumps in ultra-low temperature district heating network: Prototype demonstration and refrigerant charge investigation,4,2023,… Decentral booster heat pumps (BHPs) integrated in ultra-low temperature district heating (ULTDH) systems are deemed a sustainable solution for low-carbon building systems. The …,https://www.sciencedirect.com/science/article/pii/S0378778823007466,,0,"low-temperature, district heat pump"
A numerical study on performance efficiency of a low-temperature horizontal ground-source heat pump system,12,2023,… and its low-grade heat potential is fundamental to designing 5th generation district heating and cooling (DHC) networks. Horizontal ground-source heat pump (HGSHP) systems are a …,https://www.sciencedirect.com/science/article/pii/S0378778823003675,,0,"low-temperature, district heat pump"
"4th generation district heating (4GDH) in developing countries: Low-temperature networks, prosumers and demand-side measures",5,2023,"… Prosumer concept also allows placing a heat pump on the DH return line. The simplest … in district heating (DH). However, current research focuses on low-temperature district heating (…",https://www.sciencedirect.com/science/article/pii/S0378778823005285,,0,"low-temperature, district heat pump"
Occupant heating patterns of low-temperature air-to-air heat pumps in rural areas during different heating periods,7,2023,… the low-temperature air-to-air heat pump (AAHP) is one of the ASHP that has been widely promoted and the low-temperature air-to-air heat pump … buildings’ actual heating demands are …,https://www.mdpi.com/2075-5309/13/3/679?utm_source=releaseissue&utm_medium=email&utm_campaign=releaseissue_buildings&utm_term=titlelink161&recipient=salnapitt.3@gmail.com&subject=Buildings%2C%20Volume%2013%2C%20Issue%203%20%28March%202023%29%20Table%20of%20Contents&campaign=ReleaseIssue,,0,"low-temperature, district heat pump"
Coming in from the cold: Heat pump efficiency at low temperatures,27,2023,"… heat pumps for decades and see the highest heat pump … As of 2021, Norway had just over 60 heat pumps installed per 100 … the achieved efficiency of those heat pumps, but the large …",https://www.cell.com/joule/fulltext/S2542-4351(23)00351-3?{{{EngagementData}}}=&emci=96aa5cb5-2a56-ee11-9937-00224832e811&emdi=ea000000-0000-0000-0000-000000000001&ceid=%7B%7BContactsEmailID%7D%7D,,0,"low-temperature, district heat pump"
Performance analysis of a reversible water/LiBr absorption heat pump connected to district heating network in warm and cold climates,19,2023,"This paper presents the annual performance of a proposed reversible water/LiBr absorption heat pump connected to a district heating network for space cooling, heating, and domestic …",https://www.sciencedirect.com/science/article/pii/S0360544223000737,,0,"low-temperature, district heat pump"
Optimal retrofit of district heating network to lower temperature levels,17,2023,… pressurized water for first and 2nd generation systems) to lower temperatures (hot water with T < 100 C for 3rd and 4th generation DHNs) with also concepts of ultra-low temperature …,https://www.sciencedirect.com/science/article/pii/S0360544223017802,,0,"low-temperature, district heat pump"
Combining direct ground cooling with ground-source heat pumps and district heating: Energy and economic analysis,16,2023,"… -effective business models for incorporation of heat pumps in district heating networks [31], … of distributed heat pumps [32], and optimizing heat pumps in district heating systems to lower …",https://www.sciencedirect.com/science/article/pii/S0360544223003389,,0,"low-temperature, district heat pump"
A comparative thermoeconomic analysis of fourth generation and fifth generation district heating and cooling networks,29,2023,"… Fifth generation district heating and cooling systems include … fourth generation and fifth generation district heating cooling … source heat pumps, supplying heating and cooling energy to …",https://www.sciencedirect.com/science/article/pii/S0360544223019552,,0,"4th generation, district heating and cooling"
Modelling of 4th generation district heating systems integrated with different thermal energy storage technologies–Methodology,31,2023,… of the performance of a district heating (DH) system supplied with heat generated from renewable sources (RHS) and a selection of different types of thermal energy storage (TES) …,https://www.sciencedirect.com/science/article/pii/S0196890422013231,,0,"4th generation, district heating and cooling"
The efficiency of innovative technologies for transition to 4th generation of district heating systems in Ukraine,18,2023,"… energy-efficient modernisation, where the reduction of heat … of heat carriers, the use of heat pumps and individual heat … methodology of transition to 4th generation DHS that allows …",https://www.sciencedirect.com/science/article/pii/S0360544222027621,,0,"4th generation, district heating and cooling"
Dynamic simulation of a 4th generation district heating network with the presence of prosumers,15,2023,"… District Heating Network is identified as a promising technology for decarbonizing urban areas. Thanks to the surplus of heat available from distributed renewable energy plants, a …",https://www.sciencedirect.com/science/article/pii/S2590174523001368,,0,"4th generation, district heating and cooling"
Influence of building heat distribution temperatures on the energy performance and sizing of 5th generation district heating and cooling networks,31,2023,"… In this context, district heating and cooling systems are expected … The concept of district heating (DH) was developed by means of … The so-called 4th generation of district heating (4GDH) …",https://www.sciencedirect.com/science/article/pii/S0360544223008514,,0,"4th generation, district heating and cooling"
Multi-period design optimization for a 5th generation district heating and cooling network,21,2023,"… As a result, these one-period models fall short for districts with 5th generation district heating and cooling (5GDHC) networks, which are typically developed over long time periods and …",https://www.sciencedirect.com/science/article/pii/S0378778823000889,,0,"4th generation, district heating and cooling"
5th generation district heating and cooling network planning: A Dantzig–Wolfe decomposition approach,30,2023,"… as district energy systems evolve and become more elaborate. For the 5th generation district heating and cooling (… building energy systems, a thermal and electrical network as well as …",https://www.sciencedirect.com/science/article/pii/S0196890422013711,,0,"4th generation, district heating and cooling"
How to develop fifth-generation district heating and cooling in Sweden? Application review and best practices proposed by middle agents,21,2023,"… , the 4th generation was realised. Prompted by increasing cooling demands due to climate change and urbanisation, a new generation referred to as 5th generation district heating and …",https://www.sciencedirect.com/science/article/pii/S2352484723004092,,0,"4th generation, district heating and cooling"
Amount of heat available from a prosumer of a 5th generation district heating and cooling (5GDHC) system: Case study of a data center,12,2023,… The aim is to check capacities and temperature levels to supply energy to a 5 th generation district heating and cooling (5GDHC) system. The methodology includes studying satellite …,https://www.sciencedirect.com/science/article/pii/S2352710223013189,,0,"4th generation, district heating and cooling"
Techno-economic analysis of fifth-generation district heating and cooling combined with seasonal borehole thermal energy storage,33,2023,Fifth-generation district heating and cooling (5GDHC) is a promising solution to decarbonise future thermal energy systems. This paper investigates the potential of 5GDHC integrated …,https://www.sciencedirect.com/science/article/pii/S0360544223027767,,0,"4th generation, district heating and cooling"
Current trends of district heating and cooling in Europe-A review,6,2023,"… : district heating, renewable energy sources, 4th generation district heating, 5th generation district heating and cooling, and district cooling, for the period from 2000 to 2023. The search …",https://ieeexplore.ieee.org/abstract/document/10193702/,,0,"4th generation, district heating and cooling"
Heat loss optimization and economic evaluation of a new fourth generation district heating triple pipe system,11,2023,"… between the cost of heat loss and cost of material loss. Based on TOTS (Two-supply/One-return, triple pipe structure) heat loss theory of the fourth-generation district heating system, this …",https://www.sciencedirect.com/science/article/pii/S1359431123011894,,0,"4th generation, district heating and cooling"
Design of a 5th generation district heating substation prototype for a real case study,7,2023,"… in a subgrid of the district heating network has been decreased to 80 C in order to check the feasibility of a transition to 4th generation for Brescia’s district heating network. In addition, to …",https://www.mdpi.com/2071-1050/15/4/2972,,0,"4th generation, district heating and cooling"
5th generation district heating and cooling networks as a heat source for geothermal heat pumps,7,2023,… Since the need of highly efficient DH networks due to climate change the fourth generation of district heating networks (4GDH) has been established since the 2020s. The network …,https://link.springer.com/chapter/10.1007/978-3-031-24524-4_9,,0,"4th generation, district heating and cooling"
HEAT CONSUMPTION OPTIMIZATION IN 4TH GENERATION DISTRICT HEATING: Study on utilizing low temperature heat sources and heat stored in a house by …,0,2023,"… In addition to looking at heat storage in 4GDH a scenario with direct electric heating has … 3rd generation district heating, but it is not worth varying the indoor temperature to store energy …",https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778315,,0,"4th generation, district heating and cooling"
The Future of District Heating and Cooling Networks,2,2023,"… as an effective means of decarbonising heating and cooling, and in the academic literature due to recent innovations in Fourth Generation District Heating (4GDH) networks. …",https://ukerc8.dl.ac.uk/publications/working_paper/UKERC_The-Future-of-District-Heating-and-Cooling-Networks.pdf,http://scholar.google.com/https://ukerc8.dl.ac.uk/publications/working_paper/UKERC_The-Future-of-District-Heating-and-Cooling-Networks.pdf,0,"4th generation, district heating and cooling"
